Capital District;1762994;29259;
Antioquia;917289;18214;
Valle del Cauca;539768;14989;
Atlantico;401848;10119;
Cundinamarca;317548;7260;
Santander;282710;8146;
Bolivar;196958;3237;
Boyaca;124762;2776;
Tolima;124214;3995;
Norte de Santander;119500;5072;
